Variable,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022
BESG ESG Score,—,—,"3,48","2,83","3,52","3,69","4,64","5,15","5,85","6,23"
BESG Environmental Pillar Score,—,—,"4,31","3,04","3,92","4,36","5,93","6,22","7,18","7,89"
BESG Social Pillar Score,—,—,"1,93","2,06","1,88","1,91","1,96","3,15","3,97","3,90"
BESG Governance Pillar Score,—,—,"3,28","3,05","4,12","3,93","4,68","4,92","5,10","5,35"
ESG Disclosure Score,"46,00","45,28","43,75","43,75","46,84","53,87","55,92","57,50","55,98","58,36"
Environmental Disclosure Score,"45,61","43,43","37,69","37,69","39,99","41,41","43,97","48,72","48,72","59,05"
Social Disclosure Score,"21,43","21,43","25,79","25,79","27,60","30,20","33,80","33,80","29,23","26,06"
Governance Disclosure Score,"70,86","70,86","67,67","67,67","72,82","89,86","89,86","89,86","89,86","89,86"
Nitrogen Oxide Emissions,"788,0","752,0","755,0","809,0","826,0","953,0","888,0","825,0","886,0","604,0"
VOC Emissions,"28,0","27,0",—,—,—,—,—,—,—,"27,0"
Carbon Monoxide Emissions,—,—,—,—,—,—,—,—,—,"55,0"
Particulate Emissions,"63,0","61,0",—,—,—,—,—,—,—,"51,0"
Sulphur Dioxide / Sulphur Oxide Emissions,"551,0","500,0","482,0","513,0","531,0","615,0","569,0","102,0","107,0","99,0"
Emissions Reduction Initiatives,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Policy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,—,—,—,—,—,—,—,"32.747,6","35.926,2","32.910,9"
CO2 Scope 2 Location-Based,—,—,—,—,—,—,—,—,—,—
GHG Scope 1,"33.692,0","32.406,0","33.044,0","35.917,0","35.579,0","38.749,0","36.204,0","33.902,0","36.596,0","34.150,0"
GHG Scope 2 Location-Based,"376,0","402,0","415,0","252,0","402,0","338,0","287,0","305,0","351,0","356,0"
GHG Scope 2 Market-Based,—,—,—,—,—,—,—,"337,0","335,0","331,0"
GHG Scope 3,—,—,—,—,—,—,—,"19.086,5","39.435,0","43.451,0"
Scope of Disclosure,"2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00"
Biodiversity Policy,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes
Energy Efficiency Policy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,"120.498,0","117.721,0","119.132,0","126.348,0","124.883,0","138.120,0","128.838,0","119.881,0","131.554,0","124.262,0"
Renewable Energy Use,—,—,—,—,—,—,"2,0","361,9","1.008,2","207,0"
Electricity Used,"745,0","794,0","808,0","524,0","816,0","730,0","657,0","666,4","731,2","695,0"
Fuel Used - Natural Gas,"802.756,0","862.367,0","904.756,0","817.328,0","488.807,0","22.519,6","9,0","3.539,9","35.155,8","28.571,4"
Fuel Used - Crude Oil/Diesel,"11.508,4","11.109,3","11.190,5","12.068,6","12.213,6","14.049,9","13.111,5","10.545,3","12.934,8","12.211,3"
Waste Reduction Policy,Yes,No,No,No,No,No,No,Yes,Yes,Yes
Hazardous Waste,—,—,—,—,"118,0","230,0","187,0","188,0","216,0","222,0"
Total Waste,"379,0","461,0","479,0","226,0","272,0","338,0","299,0","289,0","357,0","460,0"
Water Consumption,"2.519,0","3.730,0","4.025,0","2.384,0","2.971,0","2.244,0","1.696,0","1.754,0","2.156,0","2.504,0"